Host Name,Possible Missing Planets,Ratio
HD 136352,4.631188 +/- 0.578899,5:2
HD 136352,5.518442 +/- 1.379611,5:2
HD 136352,11.036884 +/- 1.379611,5:2
HD 136352,21.449000 +/- 5.362250,5:2
HD 136352,42.898000 +/- 5.362250,5:2
HD 141399,47.220000 +/- 4.722000,2:1
HD 141399,100.995000 +/- 10.099500,2:1
HD 141399,534.900000 +/- 53.490000,2:1
HD 141399,2500.000000 +/- 250.000000,2:1
HD 141399,31.480000 +/- 4.722000,3:1
HD 141399,67.330000 +/- 10.099500,3:1
HD 141399,356.600000 +/- 53.490000,3:1
HD 141399,1666.666667 +/- 250.000000,3:1
HD 141399,31.480000 +/- 4.722000,3:2
HD 141399,62.960000 +/- 4.722000,3:2
HD 141399,67.330000 +/- 10.099500,3:2
HD 141399,134.660000 +/- 10.099500,3:2
HD 141399,356.600000 +/- 53.490000,3:2
HD 141399,713.200000 +/- 53.490000,3:2
HD 141399,1666.666667 +/- 250.000000,3:2
HD 141399,3333.333333 +/- 250.000000,3:2
HD 141399,18.888000 +/- 4.722000,5:2
HD 141399,37.776000 +/- 4.722000,5:2
HD 141399,40.398000 +/- 10.099500,5:2
HD 141399,80.796000 +/- 10.099500,5:2
HD 141399,213.960000 +/- 53.490000,5:2
HD 141399,427.920000 +/- 53.490000,5:2
HD 141399,1000.000000 +/- 250.000000,5:2
HD 141399,2000.000000 +/- 250.000000,5:2
HD 153557,2.433010 +/- 0.364952,3:1
HD 153557,5.090060 +/- 0.763509,3:1
HD 153557,13551.549363 +/- 2032.732405,3:1
HD 153557,1.459806 +/- 0.364952,5:2
HD 153557,2.919612 +/- 0.364952,5:2
HD 153557,3.054036 +/- 0.763509,5:2
HD 153557,6.108072 +/- 0.763509,5:2
HD 153557,8130.929618 +/- 2032.732405,5:2
HD 153557,16261.859236 +/- 2032.732405,5:2
HD 153557,2.433010 +/- 0.364952,3:2
HD 153557,4.866020 +/- 0.364952,3:2
HD 153557,5.090060 +/- 0.763509,3:2
HD 153557,10.180120 +/- 0.763509,3:2
HD 153557,13551.549363 +/- 2032.732405,3:2
HD 153557,27103.098727 +/- 2032.732405,3:2
HD 153557,7.299030 +/- 0.364952,1:1
HD 153557,15.270180 +/- 0.763509,1:1
HD 153557,40654.648090 +/- 2032.732405,1:1
HD 160691,215.000000 +/- 32.250000,3:1
HD 160691,1315.666667 +/- 197.350000,3:1
HD 160691,3.213067 +/- 0.481960,3:1
HD 160691,102.633333 +/- 15.395000,3:1
HD 160691,129.000000 +/- 32.250000,5:2
HD 160691,258.000000 +/- 32.250000,5:2
HD 160691,789.400000 +/- 197.350000,5:2
HD 160691,1578.800000 +/- 197.350000,5:2
HD 160691,1.927840 +/- 0.481960,5:2
HD 160691,3.855680 +/- 0.481960,5:2
HD 160691,61.580000 +/- 15.395000,5:2
HD 160691,123.160000 +/- 15.395000,5:2
HD 160691,645.000000 +/- 32.250000,1:1
HD 160691,3947.000000 +/- 197.350000,1:1
HD 160691,9.639200 +/- 0.481960,1:1
HD 160691,307.900000 +/- 15.395000,1:1
HD 181433,3.124767 +/- 0.468715,3:2
HD 181433,6.249533 +/- 0.468715,3:2
HD 181433,320.666667 +/- 48.100000,3:2
HD 181433,641.333333 +/- 48.100000,3:2
HD 181433,724.000000 +/- 108.600000,3:2
HD 181433,1448.000000 +/- 108.600000,3:2
